name,kana,lat,lng,closed
安牛,やすうし,44.949809,141.894187,1
南幌延,みなみほろのべ,44.965084,141.884892,1
上幌延,かみほろのべ,44.985787,141.880905,1
幌延,ほろのべ,45.014503,141.84569,0
下沼,しもぬま,45.037146,141.758218,0
豊富,とよとみ,45.104624,141.772088,0
徳満,とくみつ,45.145838,141.751039,1
兜沼,かぶとぬま,45.220236,141.6972,0
勇知,ゆうち,45.259339,141.685151,0
抜海,ばっかい,45.316866,141.644576,1
南稚内,みなみわっかない,45.398166,141.683026,0
稚内,わっかない,45.416995,141.676999,0
南永山,みなみながやま,43.78055,142.40853,0
東旭川,ひがしあさひかわ,43.776571,142.441544,0
北日ノ出,きたひので,43.781813,142.466127,1
桜岡,さくらおか,43.801812,142.486968,0
当麻,とうま,43.825477,142.516987,0
将軍山,しょうぐんざん,43.857455,142.521559,1
伊香牛,いかうし,43.876025,142.525227,0
愛別,あいべつ,43.898635,142.582176,0
中愛別,なかあいべつ,43.896216,142.655424,0
愛山,あいざん,43.866442,142.680699,1
安足間,あんたろま,43.852011,142.693868,0
東雲,とううん,43.843693,142.716544,1
上川,かみかわ,43.848508,142.766895,0
上白滝,かみしらたき,43.876501,143.1444,1
白滝,しらたき,43.884435,143.180795,0
旧白滝,きゅうしらたき,43.919905,143.236729,1
下白滝,しもしらたき,43.944553,143.276088,1
丸瀬布,まるせっぷ,44.006354,143.335817,0
瀬戸瀬,せとせ,44.008753,143.420937,0
遠軽,えんがる,44.060278,143.520667,0
安国,やすくに,43.993322,143.535762,0
生野,いくの,43.959928,143.532945,1
生田原,いくたはら,43.923674,143.534627,0
金華,かねはな,43.803484,143.57114,1
西留辺蘂,にしるべしべ,43.785345,143.603257,0
留辺蘂,るべしべ,43.785534,143.621394,0
相内,あいのない,43.795948,143.756449,0
東相内,ひがしあいのない,43.805466,143.809499,0
西北見,にしきたみ,43.803114,143.841586,0
北見,きたみ,43.805504,143.898167,0
柏陽,はくよう,43.824911,143.916737,0
愛し野,いとしの,43.841426,143.932962,0
端野,たんの,43.851172,143.942336,0
緋牛内,ひうしない,43.880431,143.999887,0
美幌,びほろ,43.836967,144.10563,0
西女満別,にしめまんべつ,43.880057,144.148372,0
女満別,めまんべつ,43.915886,144.170665,0
呼人,よびと,43.963695,144.218945,0
網走,あばしり,44.019873,144.254156,0
桂台,かつらだい,44.016913,144.273223,0
鱒浦,ますうら,43.982481,144.296526,0
藻琴,もこと,43.968358,144.320079,0
北浜,きたはま,43.958549,144.352541,0
原生花園,げんせいかえん,43.941033,144.41443,0
浜小清水,はまこしみず,43.934077,144.453187,0
止別,やむべつ,43.921558,144.519818,0
知床斜里,しれとこしゃり,43.910749,144.661647,0
中斜里,なかしゃり,43.874608,144.659033,0
南斜里,みなみしゃり,43.867531,144.63431,1
清里町,きよさとちょう,43.83871,144.593948,0
札弦,さっつる,43.786574,144.531526,0
緑,みどり,43.718282,144.505499,0
川湯温泉,かわゆおんせん,43.616258,144.457749,0
美留和,びるわ,43.555316,144.437656,0
摩周,ましゅう,43.487373,144.463981,0
南弟子屈,みなみてしかが,43.428656,144.514729,1
磯分内,いそぶんない,43.379389,144.554322,0
標茶,しべちゃ,43.298472,144.608434,0
五十石,ごじっこく,43.238771,144.545558,1
茅沼,かやぬま,43.202097,144.503788,0
塘路,とうろ,43.151739,144.496817,0
細岡,ほそおか,43.105055,144.469683,0
釧路湿原,くしろしつげん,43.100647,144.447799,0
遠矢,とおや,43.047878,144.458367,0
中小国,なかおぐに,41.051702,140.596798,0
津軽二股,つがるふたまた,41.145937,140.514231,0
竜飛海底,たっぴかいてい,41.257228,140.347946,1
知内,しりうち,41.601092,140.33494,1
木古内,きこない,41.677642,140.434004,0
江差,えさし,41.856727,140.127933,1
上ノ国,かみのくに,41.805567,140.124106,1
中須田,なかすだ,41.787214,140.149321,1
桂岡,かつらおか,41.773096,140.166071,1
宮越,みやこし,41.762404,140.184998,1
湯ノ岱,ゆのたい,41.750312,140.243698,1
神明,しんめい,41.734481,140.265709,1
吉堀,よしぼり,41.684059,140.379226,1
渡島鶴岡,おしまつるおか,41.671014,140.41137,1
札苅,さつかり,41.699271,140.468097,0
泉沢,いずみさわ,41.700867,140.506797,0
釜谷,かまや,41.712153,140.53718,0
渡島当別,おしまとうべつ,41.737309,140.579109,0
茂辺地,もへじ,41.766604,140.600561,0
上磯,かみいそ,41.81956,140.640599,0
清川口,きよかわぐち,41.824615,140.652906,0
久根別,くねべつ,41.826727,140.666468,0
東久根別,ひがしくねべつ,41.826005,140.679731,0
七重浜,ななえはま,41.817643,140.707957,0
八戸,はちのへ,40.5092,141.431499,0
新庄,しんじょう,38.76256,140.306064,0
泉田,いずみた,38.811758,140.310039,0
羽前豊里,うぜんとよさと,38.836748,140.242247,0
真室川,まむろがわ,38.858243,140.254814,0
釜淵,かまぶち,38.93281,140.263864,0
大滝,おおたき,38.971485,140.320199,0
及位,のぞき,38.992983,140.361164,0
院内,いんない,39.049706,140.4138,0
横堀,よこぼり,39.064533,140.45131,0
三関,みつせき,39.110196,140.483796,0
上湯沢,かみゆざわ,39.134221,140.485262,0
湯沢,ゆざわ,39.163443,140.487011,0
下湯沢,しもゆざわ,39.197196,140.50249,0
十文字,じゅうもんじ,39.221186,140.526287,0
醍醐,だいご,39.248716,140.53853,0
柳田,やなぎた,39.276385,140.553856,0
